Company,Price
MMM,[105.35087]
AOS,[89.288666]
ABT,[113.702354]
ABBV,[181.92146]
ACN,[347.22977]
ADM,[62.302887]
ADBE,[504.49017]
AAP,[84.750336]
AMD,[182.83395]
AES,[17.903238]
AFL,[85.83283]
A,[145.56995]
APD,[241.18474]
AKAM,[108.86971]
ALB,[129.09718]
ALK,[42.38516]
ARE,[128.3449]
ALGN,[327.4193]
ALLE,[134.75058]
LNT,[50.141777]
ALL,[171.50798]
GOOGL,[150.40846]
GOOG,[151.64989]
MO,[43.69011]
AMZN,[180.89928]
AMCR,[9.601724]
AEE,[73.61896]
AAL,[15.3078985]
AEP,[85.60524]
AXP,[227.0401]
AIG,[78.24336]
AMT,[197.76184]
AWK,[121.47439]
AMP,[435.3984]
AME,[183.35869]
AMGN,[283.27106]
APH,[114.99784]
ADI,[196.50043]
ANSS,[348.6121]
AON,[335.1035]
APA,[34.137844]
AAPL,[172.4979]
AMAT,[206.56433]
APTV,[79.37806]
ANET,[289.00882]
AJG,[250.14061]
AIZ,[187.31306]
T,[17.59263]
ATO,[118.28861]
ADSK,[260.88876]
ADP,[249.3946]
AZO,[3177.4917]
AVB,[185.50336]
AVY,[222.26247]
BKR,[33.490223]
BAC,[37.58242]
BBWI,[49.62142]
BAX,[42.6755]
BDX,[246.12044]
BBY,[81.588135]
BIO,[346.45264]
TECH,[70.64322]
BIIB,[214.95126]
BLK,[831.923]
BK,[57.571377]
BA,[191.87567]
BKNG,[3659.3892]
BWA,[34.517258]
BXP,[64.94277]
BSX,[68.33328]
BMY,[54.049786]
AVGO,[1323.9429]
BR,[205.20526]
BRO,[87.42843]
CHRW,[75.621315]
CDNS,[312.0833]
CZR,[43.568104]
CPB,[44.38566]
COF,[147.08257]
CAH,[112.06301]
KMX,[86.73185]
CCL,[16.312147]
CARR,[58.302406]
CTLT,[56.444023]
CAT,[366.5271]
CBOE,[183.37619]
CBRE,[97.20506]
CDW,[254.56013]
CE,[170.4709]
CNC,[78.59503]
CNP,[28.374168]
CF,[83.33708]
CRL,[270.16995]
SCHW,[71.74968]
CHTR,[289.95676]
CVX,[157.6019]
CMG,[2928.234]
CB,[258.9902]
CHD,[104.21565]
CI,[364.1497]
CINF,[123.19625]
CTAS,[677.8579]
CSCO,[50.047127]
C,[62.722168]
CFG,[36.066303]
CLX,[152.57074]
CME,[214.83727]
CMS,[60.046535]
KO,[61.05925]
CTSH,[73.55277]
CL,[89.927475]
CMCSA,[43.39809]
CMA,[54.516983]
CAG,[29.528671]
COP,[126.71111]
ED,[90.31595]
STZ,[271.13696]
CPRT,[57.91173]
GLW,[32.96286]
CTVA,[57.461063]
COST,[732.2122]
CTRA,[27.769753]
CCI,[105.528076]
CSX,[37.17251]
CMI,[293.67267]
CVS,[79.679855]
DHI,[163.35002]
DHR,[249.77547]
DRI,[167.02779]
DVA,[138.16418]
DE,[410.05786]
DAL,[47.440598]
XRAY,[33.111183]
DVN,[49.958084]
DXCM,[137.5144]
FANG,[197.46222]
DLR,[143.61176]
DFS,[129.60405]
DG,[155.33504]
DLTR,[132.69217]
D,[48.883087]
DPZ,[490.78705]
DOV,[177.24411]
DOW,[57.773384]
DTE,[111.33304]
DUK,[96.21692]
DD,[76.474236]
DXC,[21.204966]
EMN,[99.16725]
ETN,[313.27435]
EBAY,[52.771515]
ECL,[230.27821]
EIX,[70.40925]
EW,[95.199684]
EA,[133.00294]
LLY,[777.3575]
EMR,[113.34488]
ENPH,[119.2747]
ETR,[105.14081]
EOG,[127.3871]
EFX,[266.67905]
EQIX,[821.62695]
EQR,[63.057854]
ESS,[244.34956]
EL,[151.65623]
ETSY,[68.60093]
EVRG,[53.16847]
ES,[59.300045]
EXC,[37.458103]
EXPE,[137.45744]
EXPD,[121.659615]
EXR,[145.62434]
XOM,[115.65336]
FFIV,[190.00438]
FAST,[77.38867]
FRT,[101.81711]
FDX,[285.89267]
FIS,[73.8232]
FITB,[37.115692]
FE,[38.515793]
FMC,[63.70687]
F,[13.184409]
FTNT,[68.40984]
FTV,[86.03557]
FOXA,[31.117826]
FOX,[28.431576]
BEN,[28.103575]
FCX,[46.569656]
GPS,[27.380356]
GRMN,[149.1812]
IT,[474.1081]
GNRC,[124.36627]
GD,[282.28482]
GE,[174.53021]
GIS,[69.58526]
GM,[45.06368]
GPC,[155.10461]
GILD,[73.58632]
GPN,[133.45189]
GL,[116.91746]
GS,[416.86768]
HAL,[39.22034]
HBI,[5.813363]
HAS,[56.109043]
HCA,[334.62466]
HSIC,[75.395454]
HES,[152.27]
HPE,[17.787155]
HLT,[212.49342]
HOLX,[77.83378]
HD,[385.09818]
HON,[204.95708]
HRL,[34.873417]
HST,[20.807734]
HWM,[68.347374]
HPQ,[30.281143]
HUM,[348.93332]
HBAN,[13.953973]
HII,[291.63916]
IBM,[191.45027]
IEX,[243.60811]
IDXX,[538.0443]
ITW,[268.3717]
ILMN,[136.99806]
INCY,[57.07486]
IR,[94.810936]
INTC,[43.807156]
ICE,[137.7702]
IFF,[85.12738]
IP,[38.678925]
IPG,[32.585907]
INTU,[649.2375]
ISRG,[400.18805]
IVZ,[16.504519]
IPGP,[90.46511]
IQV,[252.25156]
IRM,[80.15837]
JBHT,[198.72108]
JKHY,[173.10655]
J,[153.54881]
SJM,[125.63833]
JNJ,[158.65135]
JCI,[65.081894]
JPM,[199.64201]
JNPR,[37.031654]
K,[57.205353]
KEY,[15.655769]
KEYS,[155.99458]
KMB,[128.75934]
KIM,[19.53163]
KMI,[18.31946]
KLAC,[697.2162]
KHC,[36.781986]
KR,[57.04528]
LHX,[213.111]
LH,[217.725]
LRCX,[970.5439]
LW,[106.10782]
LVS,[51.765263]
LEG,[19.120817]
LDOS,[130.90318]
LEN,[170.1363]
LNC,[31.447475]
LIN,[461.59973]
LYV,[105.54313]
LKQ,[53.39515]
LMT,[450.547]
L,[78.3848]
LOW,[253.98589]
LUMN,[1.6443837]
LYB,[102.0034]
MTB,[144.83836]
MRO,[28.135714]
MPC,[199.44664]
MKTX,[218.51111]
MAR,[252.05008]
MMC,[206.72923]
MLM,[612.9911]
MAS,[78.691696]
MA,[479.1783]
MTCH,[36.322586]
MKC,[75.55283]
MCD,[282.13757]
MCK,[535.2598]
MDT,[86.57076]
MRK,[130.48352]
MET,[74.19038]
MTD,[1334.6307]
MGM,[46.930912]
MCHP,[89.32192]
MU,[116.29527]
MSFT,[415.571]
MAA,[131.6333]
MRNA,[106.64004]
MHK,[129.3292]
TAP,[67.03373]
MDLZ,[70.256]
MPWR,[677.31213]
MNST,[59.418377]
MCO,[394.98477]
MS,[93.591255]
MSI,[355.72406]
MSCI,[559.47003]
NDAQ,[62.860237]
NTAP,[104.88696]
NFLX,[606.6561]
NWL,[7.9079685]
NEM,[35.691513]
NWSA,[26.13648]
NWS,[27.058556]
NEE,[63.041157]
NKE,[94.60911]
NI,[27.597458]
NSC,[254.27159]
NTRS,[88.400696]
NOC,[475.38065]
NCLH,[20.611523]
NRG,[67.02115]
NUE,[197.13872]
NVDA,[881.43945]
NVR,[8086.733]
NXPI,[246.67546]
ORLY,[1129.0826]
OXY,[64.709145]
ODFL,[241.13261]
OMC,[96.19385]
OKE,[80.0817]
ORCL,[125.76582]
OGN,[18.81101]
OTIS,[99.08613]
PCAR,[123.64528]
PKG,[189.42227]
PH,[553.4315]
PAYX,[122.59868]
PAYC,[197.48389]
PYPL,[66.55244]
PENN,[18.097462]
PNR,[84.92163]
PEP,[174.82167]
PFE,[27.683931]
PM,[91.66743]
PSX,[161.68185]
PNW,[74.39205]
PXD,[261.55515]
PNC,[160.0435]
POOL,[405.04993]
PPG,[144.74628]
PPL,[27.413973]
PFG,[85.95078]
PG,[162.56898]
PGR,[206.93936]
PLD,[129.83731]
PRU,[117.14522]
PTC,[189.11041]
PEG,[66.37516]
PSA,[287.69778]
PHM,[119.225426]
PVH,[139.80342]
QRVO,[114.81646]
QCOM,[169.1291]
PWR,[259.12662]
DGX,[132.17424]
RL,[187.23874]
RJF,[127.61756]
RTX,[97.02288]
O,[53.987545]
REG,[60.533897]
REGN,[960.0715]
RF,[20.83922]
RSG,[191.68729]
RMD,[197.3794]
RHI,[79.37938]
ROK,[290.33157]
ROL,[46.17796]
ROP,[558.6968]
ROST,[146.98802]
RCL,[137.91911]
SPGI,[424.14594]
CRM,[301.1867]
SBAC,[215.48024]
SLB,[54.78169]
STX,[92.3551]
SEE,[37.03107]
SRE,[71.35566]
NOW,[761.01544]
SHW,[348.4056]
SPG,[155.90628]
SWKS,[107.6521]
SNA,[295.42496]
SO,[71.16515]
LUV,[29.25347]
SWK,[96.81918]
SBUX,[91.45244]
STT,[77.08001]
STE,[224.04561]
SYK,[358.91336]
SYF,[43.05145]
SNPS,[571.81934]
SYY,[81.06843]
TMUS,[163.65477]
TROW,[121.14647]
TTWO,[147.99924]
TPR,[47.50219]
TGT,[175.41304]
TEL,[144.93515]
TDY,[426.42767]
TFX,[224.50992]
TER,[111.74895]
TSLA,[177.52698]
TXN,[173.47963]
TXT,[95.61654]
COO,[101.32008]
HIG,[102.58585]
HSY,[194.81923]
MOS,[32.24759]
TRV,[229.66418]
DIS,[121.424286]
TMO,[579.1706]
TJX,[100.98192]
TSCO,[261.32803]
TT,[299.886]
TDG,[1230.4011]
TRMB,[64.224594]
TFC,[38.732243]
TYL,[422.98135]
TSN,[58.41967]
USB,[44.71752]
UDR,[37.437252]
ULTA,[520.68317]
UAA,[7.5383325]
UA,[7.299009]
UNP,[245.66533]
UAL,[47.478455]
UPS,[147.66586]
URI,[718.5137]
UNH,[491.59402]
UHS,[181.81993]
VLO,[169.3767]
VTR,[43.499634]
VRSN,[190.23787]
VRSK,[235.69354]
VZ,[41.888767]
VRTX,[417.58972]
VFC,[15.334458]
VTRS,[12.015179]
V,[279.7257]
VNO,[28.653765]
VMC,[272.8985]
WRB,[88.11033]
GWW,[1015.55304]
WAB,[145.5635]
WBA,[21.498573]
WMT,[60.04888]
WM,[212.66623]
WAT,[346.0298]
WEC,[81.67289]
WFC,[57.992954]
WELL,[93.34416]
WST,[396.61932]
WDC,[67.71613]
WU,[14.001492]
WRK,[49.307957]
WY,[35.858116]
WHR,[117.5637]
WMB,[38.8005]
WYNN,[102.07122]
XEL,[53.548027]
